Local,Nome,Logradouro,Latitude,Longitude
Full Serve,Joe Allen,326 W 46th St,40760186,-73988882
Full Serve,O'Flaherty's Ale House & Restaurant,334 W 46th St,40760254,-73989045
Full Serve,Sangria 46,338 W 46th St,4076029,-73989124
Full Serve,Le Rivage,340 W 46th St,40760307,-73989167
Full Serve,Da Rosina Ristorante Italiano,342 W 46th St,40760323,-73989207
Café Deli,EZ Deil and NY Nail Land,1625 Broadway,40761223,-73984207
Coffee,Dunkin' Donuts,210 W 50th St,4076156,-73984395
Quick Serve,Famous Famiglia Pizzeria,1630 Broadway,40761327,-73984106
Full Serve,Italia Mia Pizza,1674 Broadway,40762861,-73983109
Full Serve,Club House Café,155 W 46th St,40758031,-73983746
Full Serve,Restaurant,155 W 46th St,40758031,-73983746
Full Serve,TGI Friday's,1552 Broadway,40758665,-73984977
Full Serve,Meson Sevilla Ristorante,344 W 46th St,40760342,-73989247
Full Serve,Danny's Grand Sea Palace,346 W 46th St,40760359,-73989286
Full Serve,Sushi of Gari,347 W 46th St,40760373,-73989276
Full Serve,Swing 46 Jazz and Supper Club,349 W 46th St,40760392,-73989315
Full Serve,Bourbon Street Bar & Grille,346 W 46th St,40760359,-73989286
Full Serve,Ocha Sushi,350 W 46th St,40760395,-73989369
Full Serve,Becco,355 W 46th St,40760441,-73989438
Full Serve,Capri Ristorante - CLOSED,358 W 46th St,40760463,-73989528
Café Deli,Paramount Cafe,1501 Broadway,40757103,-73986193
Full Serve,Viva Pancho,156 W 44th St,40756746,-73984634
Full Serve,Lattanzi Restaurant,359 W 46th St,40760477,-73989521
Catering,Aramark Services,230 W 41st St,40755802,-73988482
Café Deli,City Chow,1633 Broadway,40761574,-73983962
Café Deli,Cosi,1633 Broadway,40761574,-73983962
Full Serve,Mars 2112,1633 Broadway,40761574,-73983962
Full Serve,Bangkok House,360 W 46th St,4076048,-73989571
Full Serve,The House of Brews,363 W 46th St,4076051,-739896
Full Serve,Tramonti,364 W 46th St,40760513,-73989651
Full Serve,Firebird Restaurant,365 W. 46th Street,40760529,-7398964
Full Serve,Joshua Tree - CLOSED,368 W 46th St,40760548,-73989734
Quick Serve,McDonald's,1560 Broadway,4075886,-73984843
Bar Lounge,Ritz Bar & Lounge,369 W 46th St,40760562,-73989723
Bar Lounge,Deacon Brodie's Tavern,370 W 46th St,40760565,-73989774
Full Serve,Pomaire,371 W 46th St,40760578,-73989763
Full Serve,Red Lobster,5 Times Sq,40755709,-73987208
Full Serve,Pig 'N' Whistle,165 W 47th St,40758744,-73983504
Café Deli,Roxy Deli,1565 Broadway,40759192,-73985186
Full Serve,Blue Fin,W Times Square 1567 Broadway,40756582,-73989637
Bar Lounge,The Whiskey,1567 Broadway,40759247,-73985168
Full Serve,Aspen Social Club,157 W 47th St,40758678,-73983342
Café Deli,Times Deli Café,158 W 44th St,40756763,-7398467
Coffee,Starbucks,1585 Broadway,40760216,-73985334
Coffee,vacant (former starbucks),1600 Broadway,4076035,-73984713
Full Serve,Spotlight Times Square,1604-1610 Broadway,40760487,-73984648
Full Serve,San Leone,1674 Broadway,40762861,-73983109
Full Serve,Ellen's Stardust Diner,1650 Broadway,40761964,-73983684
Café Deli,New York Bagel Company,1674 Broadway,40762861,-73983109
Quick Serve,Crumbs,1675 Broadway,40762963,-73983073
Full Serve,Olive Garden Italian Restaurant,2 Times Sq,4075931,-73984857
Full Serve,Playwright Bar And Restaurant,202 W 49th St,40760559,-73983991
Café Deli,Dean & Deluca,620 Eighth Ave,40756039,-73990651
Quick Serve,Subway,214 W 50th St,40761585,-73984456
Café Deli,Europa Café,218 W 42nd St,40756382,-73987789
Café Deli,Uncle A's Mini Mart,220 W 41st St,40755717,-7398828
Catering,The Alicart Restaurant Group,1501 Broadway,40757103,-73986193
Full Serve,Da Marino,220 W 49th St,40760987,-73984987
Full Serve,Danny's Deli,224 W 47th St,40759697,-73985818
Catering,Lp Food & Beverage IncOceo,224 W 49th St,40761014,-73985052
Full Serve,Oceo,224 West 49th Street,40761014,-73985052
Full Serve,Serafina @ Time Hotel,224 W 49th St,40761014,-73985052
Full Serve,Gallagher's Steak House,228 W. 52nd Street,40762911,-7398372
Full Serve,Carmine's,200 W 44th St,40757405,-7398619
Quick Serve,Carvel,1501 Broadway,40757103,-73986193
Quick Serve,Coldstone Creamery,1501 Broadway,40757103,-73986193
Full Serve,Havana Central,151 West 46th Street,40757998,-73983667
Quick Serve,Domino's Pizza,230 W 41st St,40755802,-73988482
Full Serve,Hurley's Steak and Seafood,232 W 48th St,40760441,-73985622
Full Serve,Pinnacle Bar,234 W 42nd St 25th Floor,40756747,-73988659
Full Serve,Applebee's Neighborhood Grill and Bar,234 W 42nd St,40756747,-73988659
Café Deli,Chock full o' Nuts Cafe,234 W 42nd St,40756747,-73988659
Full Serve,Juniors Restaurant,1515 Broadway,40757636,-73985804
Quick Serve,Dippin' Dots,234 W 42nd St,40756747,-73988659
Quick Serve,Manchu WOK,234 W 42nd St,40756747,-73988659
Quick Serve,Ranch 1,234 W 42nd St,40756747,-73988659
Café Deli,EASY INTERNET CAFE TIME SQUARE LLC,258 W 42nd St,40756895,-73989009
Café Deli,Howard Johnson's Cafe',1551-1553 Broadway,40758805,-73985312
Bar Lounge,Bar 10,270 W 43rd St,40757482,-73988309
Quick Serve,Dale & Thomas Popcorn,1592 Broadway,40759963,-73984883
Full Serve,Crown Deli,1678 Broadway,40762977,-73983041
Full Serve,The Two Times Square Restaurant,714 Seventh Ave,40759581,-73984366
Full Serve,Applebee's,205 W 50th St,40761382,-73983926
Full Serve,Social Bar NYC & Latitude Bar Grill,795 Eighth Avenue,40761212,-739869
Bar Lounge,The Long Room,120 West 44th St.,40756461,-73983952
Catering,Scott Alling-Convivial Catering,130 W 42nd St,40755278,-73985172
Full Serve,Gingers Restaurant,1568 Broadway,40759055,-7398471
Catering,Scott Alliang-Demonstration Room,130 W 42nd St,40755278,-73985172
Full Serve,Blockheads,825 Eighth Ave,40762074,-73986275
Café Deli,David's Potbelly Stove Cafe,1501 Broadway,40757103,-73986193
Café Deli,Time Square Deli,1501 Broadway,40757103,-73986193
Quick Serve,Baja Fresh Mexican Grill,1441 Broadway,40754707,-73986753
Full Serve,Bobby Van's Steakhouse,120 West 45th Street,40757117,-73983544
Consumables,F & H Liquor Center Inc,810 7th Ave,40762639,-73982146
Full Serve,Martini's Restaurant,810 7th Ave,40762639,-73982146
Full Serve,Montenapo Restaurant,250 West 41st Street,40755973,-73988886
Coffee,Starbucks,1656 Broadway,40762257,-73983492
Full Serve,Aureole,1 Bryant Park,40755182,-7398388
Full Serve,Dunhill Cafe,109 W 45th St,40757026,-73983291
