Local,Nome,Logradouro,Latitude,Longitude
TEATRO,Palace Theatre,1564 Broadway,4.07589E+16,-7.39845E+15
TEATRO,Pearl Theatre,80 Saint Marks Pl,4.07276E+16,-7.39858E+15
TEATRO,People's Improv Theater,154 W 29th St,4.07474E+15,-7.39923E+15
TEATRO,Playwrights Horizons Theater School,440 Lafayette St,4.07295E+16,-739922209999171
TEATRO,Queens Theatre in the Park,Flushing Meadows Corona Park,4.0744E+15,-7.38446E+15
TEATRO,Rattlestick Theater,224 Waverly Pl,4.07362E+15,-7,4002E+15
TEATRO,Richard Rodgers Theatre,226 W 46th Street,4.0759E+15,-739867417603334
TEATRO,Samuel J. Friedman Theatre (formerly the Biltmore,261 W 47th St,4.07604E+15,-7.39867E+15
TEATRO,Second Stage Theater,307 W 43rd St,4.07582E+16,-7.39897E+15
TEATRO,Shubert Theatre,225 W 44th St,4.07581E+16,-7.39872E+15
TEATRO,Snapple Theater Center,1627 Broadway,4.07614E+15,-7.39844E+15
TEATRO,SoHo Playhouse,15 Vandam St,4.07265E+15,-7,40044E+15
TEATRO,SoHo Repertory Theatre,86 Franklin St,4.07182E+16,-7,40047E+15
TEATRO,St. James Theatre,246 W 44th St,4.0758E+15,-7.39882E+15
TEATRO,Studio 54 Theatre,254 W 54th Street,4.07644E+15,-7.39838E+15
TEATRO,Swedish Cottage Marionette Theater,West Side at 79th Street,4.078E+15,-7.39704E+15
TEATRO,Tenement Theatre,97 Orchard Street,4.07185E+15,-7.39903E+15
TEATRO,The Beckett Theatre,410 W 42 St,4.07587E+15,-7.39937E+15
TEATRO,The Cherry Pit,155 Bank St,4.07365E+15,-7,4009E+15
TEATRO,The Little Shubert theatre,422 West 42nd Street,4.07586E+15,-7.39939E+15
TEATRO,The Public Theater,425 Lafayette St,4.07289E+15,-7.39918E+15
TEATRO,The Secret Theatre,44-02 23rd St.,4.07489E+15,-7.39448E+15
TEATRO,The Upright Citizens Brigade Theatre,307 W 26th Street,4.07477E+16,-739973874129749
TEATRO,The Walter Reade Theater at Lincoln Center,70 Lincoln Center Plaza,4.07741E+16,-7.39842E+15
TEATRO,The Zipper Theater,336 W 37th St,4.07547E+15,-7.3994E+15
TEATRO,Theater For The New City,155 1st Avenue,4.07287E+15,-7.3985E+15
TEATRO,Theatre @ St. Clement's,423 West 46th Street,4.07616E+15,-7.39916E+15
TEATRO,Theatre 80 St Marks,80 Saint Marks Pl,4.07276E+15,-7.39858E+15
TEATRO,Theatre Row,410 W 42nd Street,4.07587E+15,-7.39939E+15
TEATRO,Under St. Marks,94 St. Marks Place,4.07273E+15,-7.3985E+15
TEATRO,Union Square Theater,100 E 17th St,4.07362E+15,-7.39887E+15
TEATRO,Village Theater,158 Bleecker St,4.07285E+16,-7,40002E+15
TEATRO,Vineyard Theatre,108 E 15th St,4.07347E+15,-7.39892E+15
TEATRO,Walkerspace Theater,46 Walker Street,4.07193E+15,-7,40035E+15
TEATRO,Wamu Theater (formerly Theater At Madison Square Garden,4 Penn Plaza,4.07505E+15,-7.39934E+15
TEATRO,Westside Theater,407 W 43rd St,4.07595E+16,-7.39926E+15
TEATRO,Wings Theatre,154 Christopher St,4.07324E+15,-740088925664614
TEATRO,Winter Garden Theatre,1634 Broadway,4.07615E+16,-7.39835E+15
TEATRO,York Theatre,619 Lexington Ave,4.07584E+16,-7.397E+15
TEATRO,Delacorte Theater,Central Park - Mid-Park at 80th Street,4.07802E+15,-739688248050205
